,issue_no,created_at,closed_at,assignees_no,labels,closes_no,author_association,comments_no,title,url
10,1234,2022-02-04 17:52:19+00:00,2022-02-04 18:17:49+00:00,0,[],0,MEMBER,0.0,Update and rename module-readiness.md to feature-readiness.md,https://api.github.com/repos/cosmos/gaia/issues/1234
11,1233,2022-02-04 15:56:51+00:00,2022-02-04 16:05:41+00:00,0,[],0,MEMBER,0.0,Update cosmos-hub-roadmap-2.0.md / IBC Queries,https://api.github.com/repos/cosmos/gaia/issues/1233
12,1232,2022-02-04 09:20:53+00:00,2022-02-04 18:18:38+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,2.0,Bump github.com/cosmos/cosmos-sdk from 0.44.5 to 0.45.1,https://api.github.com/repos/cosmos/gaia/issues/1232
13,1231,2022-02-04 09:20:37+00:00,2022-02-04 18:19:05+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,1.0,Bump github.com/cosmos/ibc-go/v2 from 2.0.2 to 2.0.3,https://api.github.com/repos/cosmos/gaia/issues/1231
14,1230,2022-02-04 00:00:55+00:00,2022-02-04 18:42:08+00:00,0,[],0,CONTRIBUTOR,0.0,app.toml template gRPCWeb port conflict fix,https://api.github.com/repos/cosmos/gaia/issues/1230
15,1228,2022-02-03 09:30:01+00:00,2022-02-04 18:22:54+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,2.0,Bump github.com/gravity-devs/liquidity from 1.4.2 to 1.4.5,https://api.github.com/repos/cosmos/gaia/issues/1228
16,1227,2022-02-02 15:27:24+00:00,2022-02-04 17:53:48+00:00,0,[],0,MEMBER,0.0,Working Group/Interest Group and Charter,https://api.github.com/repos/cosmos/gaia/issues/1227
17,1226,2022-02-02 09:38:18+00:00,2022-02-03 16:57:42+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,2.0,Bump github.com/cosmos/cosmos-sdk from 0.44.5 to 0.45.0,https://api.github.com/repos/cosmos/gaia/issues/1226
18,1225,2022-02-01 09:25:06+00:00,2022-02-01 19:51:30+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,1.0,Bump JamesIves/github-pages-deploy-action from 4.2.2 to 4.2.3,https://api.github.com/repos/cosmos/gaia/issues/1225
19,1224,2022-01-31 17:58:11+00:00,2022-02-01 19:51:59+00:00,0,[],0,MEMBER,0.0,Update cosmos-hub-roadmap-2.0.md add IBC 3.1.0 and Relayer Incentivisation,https://api.github.com/repos/cosmos/gaia/issues/1224
20,1222,2022-01-31 16:28:07+00:00,2022-02-15 11:56:08+00:00,1,[],0,MEMBER,2.0,figure out how to update the cosmos docs swagger dropdown to include latest release numbers,https://api.github.com/repos/cosmos/gaia/issues/1222
21,1220,2022-01-28 14:31:36+00:00,2022-01-29 14:47:39+00:00,0,[],0,MEMBER,0.0,Update cosmos-hub-roadmap-2.0.md Liquidity,https://api.github.com/repos/cosmos/gaia/issues/1220
22,1218,2022-01-27 13:51:06+00:00,2022-01-28 14:54:55+00:00,0,"['dependencies', 'javascript']",0,CONTRIBUTOR,1.0,Bump postcss from 7.0.35 to 7.0.39 in /docs,https://api.github.com/repos/cosmos/gaia/issues/1218
23,1217,2022-01-27 12:20:18+00:00,2022-01-27 13:50:18+00:00,0,[],0,MEMBER,0.0,Add tabbing for markdown docs,https://api.github.com/repos/cosmos/gaia/issues/1217
24,1214,2022-01-27 09:21:36+00:00,2022-01-28 14:54:54+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,2.0,Bump github.com/gravity-devs/liquidity from 1.4.2 to 1.4.4,https://api.github.com/repos/cosmos/gaia/issues/1214
25,1213,2022-01-27 09:21:20+00:00,2022-01-28 14:54:54+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,1.0,Bump github.com/tendermint/tendermint from 0.34.14 to 0.35.1,https://api.github.com/repos/cosmos/gaia/issues/1213
26,1212,2022-01-26 22:05:50+00:00,2022-02-03 10:26:14+00:00,0,[],0,MEMBER,0.0,Update joining testnet docs,https://api.github.com/repos/cosmos/gaia/issues/1212
27,1211,2022-01-26 19:04:50+00:00,2022-01-27 18:55:24+00:00,0,[],0,MEMBER,0.0,Theta update,https://api.github.com/repos/cosmos/gaia/issues/1211
28,1210,2022-01-26 16:41:12+00:00,2022-02-04 18:21:01+00:00,1,"['build', 'dependencies']",1,MEMBER,1.0,build: bump liquidity to v1.4.4 from v1.4.2,https://api.github.com/repos/cosmos/gaia/issues/1210
29,1209,2022-01-26 16:32:04+00:00,2022-02-04 18:21:01+00:00,1,"['build', 'dependencies']",0,MEMBER,0.0,build: bump liquidity version to v1.4.4,https://api.github.com/repos/cosmos/gaia/issues/1209
30,1208,2022-01-24 03:13:11+00:00,2022-02-04 18:25:23+00:00,0,[],0,CONTRIBUTOR,0.0,Update statesync.bash,https://api.github.com/repos/cosmos/gaia/issues/1208
31,1207,2022-01-21 19:24:36+00:00,2022-01-28 10:52:20+00:00,0,['docs'],0,MEMBER,0.0,Updates to Validator Docs,https://api.github.com/repos/cosmos/gaia/issues/1207
32,1206,2022-01-21 10:37:49+00:00,2022-02-03 10:24:04+00:00,0,['docs'],0,MEMBER,3.0,Add Quickstart for Mainnet Docs,https://api.github.com/repos/cosmos/gaia/issues/1206
33,1205,2022-01-20 11:46:28+00:00,2022-01-28 10:22:42+00:00,0,['docs'],0,MEMBER,1.0,Update Ledger doc with Keplr,https://api.github.com/repos/cosmos/gaia/issues/1205
34,1204,2022-01-20 11:09:57+00:00,2022-01-27 12:16:28+00:00,0,[],0,MEMBER,1.0,Add & style new tabs component for docs,https://api.github.com/repos/cosmos/gaia/issues/1204
35,1203,2022-01-19 20:30:01+00:00,2022-01-21 13:43:50+00:00,0,[],0,CONTRIBUTOR,3.0,`gaiad keys add` doesn't support both `--hd-path` and `--ledger` simultaneously,https://api.github.com/repos/cosmos/gaia/issues/1203
36,1202,2022-01-19 20:00:02+00:00,2022-01-20 11:47:09+00:00,1,[],0,CONTRIBUTOR,1.0,docs: outdated link to Lunie,https://api.github.com/repos/cosmos/gaia/issues/1202
37,1196,2022-01-19 17:43:22+00:00,2022-02-04 18:01:56+00:00,0,[],0,MEMBER,0.0,Technical,https://api.github.com/repos/cosmos/gaia/issues/1196
38,1188,2022-01-19 17:42:32+00:00,2022-02-04 17:52:45+00:00,0,[],0,MEMBER,0.0,IBC Readiness,https://api.github.com/repos/cosmos/gaia/issues/1188
39,1187,2022-01-19 17:42:28+00:00,2022-02-04 18:01:54+00:00,0,[],0,MEMBER,0.0,Integration partner:,https://api.github.com/repos/cosmos/gaia/issues/1187
40,1185,2022-01-19 17:42:16+00:00,2022-02-04 17:47:05+00:00,0,[],0,MEMBER,0.0,Support and training requirements:,https://api.github.com/repos/cosmos/gaia/issues/1185
41,1184,2022-01-19 17:42:12+00:00,2022-02-04 17:46:57+00:00,0,[],0,MEMBER,0.0,Handoff requirements:,https://api.github.com/repos/cosmos/gaia/issues/1184
42,1183,2022-01-19 17:42:08+00:00,2022-02-04 17:46:49+00:00,0,[],0,MEMBER,0.0,Maintainer:,https://api.github.com/repos/cosmos/gaia/issues/1183
43,1182,2022-01-19 17:42:03+00:00,2022-02-04 17:46:41+00:00,0,[],0,MEMBER,0.0,Developer:,https://api.github.com/repos/cosmos/gaia/issues/1182
44,1181,2022-01-19 17:41:59+00:00,2022-02-04 17:44:13+00:00,0,[],0,MEMBER,0.0,Demo/Tutorial,https://api.github.com/repos/cosmos/gaia/issues/1181
45,1180,2022-01-19 17:41:56+00:00,2022-02-04 17:44:05+00:00,0,[],0,MEMBER,0.0,Light Paper/Blog Post,https://api.github.com/repos/cosmos/gaia/issues/1180
46,1179,2022-01-19 17:41:53+00:00,2022-02-04 17:41:59+00:00,0,[],0,MEMBER,0.0,Readme/Documentation,https://api.github.com/repos/cosmos/gaia/issues/1179
47,1178,2022-01-19 17:41:50+00:00,2022-02-04 17:41:15+00:00,0,[],0,MEMBER,0.0,Repository,https://api.github.com/repos/cosmos/gaia/issues/1178
48,1176,2022-01-19 17:37:27+00:00,2022-02-04 18:00:32+00:00,0,[],0,MEMBER,3.0,Create 001-interchain-accounts.md,https://api.github.com/repos/cosmos/gaia/issues/1176
49,1175,2022-01-19 17:36:42+00:00,2022-02-04 18:00:31+00:00,0,[],0,MEMBER,0.0,Copy Gaia ADR for this feature,https://api.github.com/repos/cosmos/gaia/issues/1175
50,1172,2022-01-18 14:56:58+00:00,2022-01-19 17:27:47+00:00,1,[],0,MEMBER,0.0,Module Readiness Github Issue & Docs,https://api.github.com/repos/cosmos/gaia/issues/1172
51,1171,2022-01-18 11:41:58+00:00,2022-01-19 18:07:00+00:00,0,[],0,MEMBER,0.0,Readiness Docs Directory & Template,https://api.github.com/repos/cosmos/gaia/issues/1171
52,1170,2022-01-18 11:41:23+00:00,2022-01-19 19:55:29+00:00,0,[],0,MEMBER,0.0,Hub Issue Template,https://api.github.com/repos/cosmos/gaia/issues/1170
53,1169,2022-01-18 09:45:40+00:00,2022-01-18 15:01:58+00:00,0,[],0,MEMBER,1.0,Light Paper,https://api.github.com/repos/cosmos/gaia/issues/1169
54,1168,2022-01-18 09:45:30+00:00,2022-01-18 15:01:52+00:00,0,[],0,MEMBER,1.0,Documentation,https://api.github.com/repos/cosmos/gaia/issues/1168
55,1167,2022-01-18 09:45:27+00:00,2022-01-18 15:02:21+00:00,0,[],0,MEMBER,1.0,Specification,https://api.github.com/repos/cosmos/gaia/issues/1167
56,1166,2022-01-18 09:45:22+00:00,2022-01-18 15:02:08+00:00,0,[],0,MEMBER,1.0,ADR,https://api.github.com/repos/cosmos/gaia/issues/1166
57,1164,2022-01-18 09:24:01+00:00,2022-01-19 19:51:59+00:00,0,[],0,MEMBER,1.0,add template and dir,https://api.github.com/repos/cosmos/gaia/issues/1164
58,1163,2022-01-18 09:21:53+00:00,2022-01-18 15:02:31+00:00,0,['Epic'],0,MEMBER,3.0,Interchain Account Module Readiness,https://api.github.com/repos/cosmos/gaia/issues/1163
59,1161,2022-01-18 09:01:10+00:00,2022-01-19 18:09:39+00:00,0,"['dependencies', 'javascript']",0,CONTRIBUTOR,0.0,Bump vuepress-theme-cosmos from 1.0.182 to 1.0.183 in /docs,https://api.github.com/repos/cosmos/gaia/issues/1161
60,1160,2022-01-14 18:54:03+00:00,2022-01-19 20:54:35+00:00,0,[],0,MEMBER,1.0,1159 update state sync configs,https://api.github.com/repos/cosmos/gaia/issues/1160
61,1159,2022-01-13 11:43:06+00:00,2022-01-19 18:07:22+00:00,1,['enhancement'],0,MEMBER,0.0,Update Gaia configs to default snapshotting enabled,https://api.github.com/repos/cosmos/gaia/issues/1159
62,1158,2022-01-12 15:12:02+00:00,2022-02-04 18:33:31+00:00,0,[],0,MEMBER,1.0,History of Cosmos Hub Table,https://api.github.com/repos/cosmos/gaia/issues/1158
63,1156,2022-01-12 13:30:15+00:00,2022-01-19 18:06:41+00:00,1,['enhancement'],0,MEMBER,0.0,Hub Configuration Values Update,https://api.github.com/repos/cosmos/gaia/issues/1156
64,1155,2022-01-12 11:23:54+00:00,2022-02-04 15:13:34+00:00,1,['Epic'],0,MEMBER,2.0,convert module readiness checklist into github issue template,https://api.github.com/repos/cosmos/gaia/issues/1155
65,1154,2022-01-11 17:09:34+00:00,2022-01-21 19:25:30+00:00,1,['docs'],0,MEMBER,1.0,Proposed changes to the Cosmos Hub/Validators Sections ,https://api.github.com/repos/cosmos/gaia/issues/1154
66,1153,2022-01-11 12:51:42+00:00,2022-01-11 12:52:00+00:00,0,[],0,MEMBER,1.0,add  Action,https://api.github.com/repos/cosmos/gaia/issues/1153
67,1152,2022-01-11 09:29:19+00:00,2022-01-19 18:10:13+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,0.0,Bump JamesIves/github-pages-deploy-action from 4.1.8 to 4.2.2,https://api.github.com/repos/cosmos/gaia/issues/1152
68,1151,2022-01-10 23:33:53+00:00,2022-01-10 23:42:53+00:00,0,[],0,NONE,3.0,MacOS compilation failure with custom keychain management,https://api.github.com/repos/cosmos/gaia/issues/1151
69,1149,2022-01-10 09:29:46+00:00,2022-01-11 09:29:22+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,1.0,Bump JamesIves/github-pages-deploy-action from 4.1.8 to 4.2.1,https://api.github.com/repos/cosmos/gaia/issues/1149
70,1148,2022-01-07 15:55:25+00:00,2022-01-20 15:29:41+00:00,1,['docs'],0,MEMBER,0.0,Create ICA overview for tutorial,https://api.github.com/repos/cosmos/gaia/issues/1148
71,1147,2022-01-07 09:28:00+00:00,2022-01-10 09:29:50+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,1.0,Bump JamesIves/github-pages-deploy-action from 4.1.8 to 4.2.0,https://api.github.com/repos/cosmos/gaia/issues/1147
72,1146,2022-01-06 22:53:14+00:00,2022-01-28 10:31:46+00:00,0,['docs'],0,MEMBER,2.0,Update joining mainnet documentation,https://api.github.com/repos/cosmos/gaia/issues/1146
73,1145,2022-01-06 12:31:20+00:00,2022-01-19 18:06:10+00:00,0,['enhancement'],0,MEMBER,3.0,Enable state-sync by default,https://api.github.com/repos/cosmos/gaia/issues/1145
74,1144,2022-01-06 09:27:59+00:00,2022-01-07 09:28:03+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,1.0,Bump JamesIves/github-pages-deploy-action from 4.1.8 to 4.1.9,https://api.github.com/repos/cosmos/gaia/issues/1144
75,1143,2022-01-05 09:25:35+00:00,2022-01-19 18:11:32+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,2.0,Bump technote-space/get-diff-action from 5.0.2 to 6.0.1,https://api.github.com/repos/cosmos/gaia/issues/1143
76,1142,2022-01-04 16:29:40+00:00,2022-01-12 13:55:31+00:00,0,['docs'],0,MEMBER,0.0,Added instructions on depositing to a proposal,https://api.github.com/repos/cosmos/gaia/issues/1142
77,1141,2022-01-04 15:07:52+00:00,2022-01-05 17:18:16+00:00,0,[],0,MEMBER,2.0,"CLOSING since in #1140 Vega Upgrade completed, can we get the date in the roadmap",https://api.github.com/repos/cosmos/gaia/issues/1141
78,1140,2022-01-04 14:15:03+00:00,2022-01-12 13:47:45+00:00,0,[],0,MEMBER,0.0,Update Roadmap to mention Vega is completed,https://api.github.com/repos/cosmos/gaia/issues/1140
79,1139,2022-01-04 10:36:54+00:00,2022-01-19 18:21:46+00:00,0,[],0,NONE,3.0,Error: wrong Block.Header.AppHash,https://api.github.com/repos/cosmos/gaia/issues/1139
80,1138,2022-01-03 16:51:23+00:00,2022-01-03 18:48:35+00:00,0,['github_actions'],0,MEMBER,0.0,Update stale.yml to exclude issues,https://api.github.com/repos/cosmos/gaia/issues/1138
81,1137,2022-01-03 14:48:27+00:00,2022-01-31 16:17:05+00:00,1,[],0,NONE,2.0,"Validator crash CONSENSUS FAILURE!!! ""proto: illegal wireType 7""",https://api.github.com/repos/cosmos/gaia/issues/1137
82,1136,2021-12-30 20:47:59+00:00,2022-01-04 11:17:50+00:00,0,['more-info-needed'],0,NONE,6.0,unable to claim rewards from a validator,https://api.github.com/repos/cosmos/gaia/issues/1136
83,1135,2021-12-28 01:52:20+00:00,2022-02-01 19:51:03+00:00,0,[],0,CONTRIBUTOR,11.0,Fix rocksdb build tag usage,https://api.github.com/repos/cosmos/gaia/issues/1135
84,1134,2021-12-28 01:01:57+00:00,2022-01-19 18:25:38+00:00,0,[],0,CONTRIBUTOR,2.0,Default to Rocksdb,https://api.github.com/repos/cosmos/gaia/issues/1134
85,1133,2021-12-23 17:20:10+00:00,2022-01-06 23:29:47+00:00,0,[],0,MEMBER,1.0,Fix broken and outdated links mentioned in recent github issues,https://api.github.com/repos/cosmos/gaia/issues/1133
86,1132,2021-12-23 15:01:50+00:00,2021-12-23 16:53:40+00:00,0,['docs'],0,MEMBER,0.0,Fix links to hub-tutorials,https://api.github.com/repos/cosmos/gaia/issues/1132
87,1131,2021-12-21 18:58:47+00:00,2021-12-22 09:35:07+00:00,0,[],0,CONTRIBUTOR,1.0,Update broken links in docs,https://api.github.com/repos/cosmos/gaia/issues/1131
88,1130,2021-12-21 14:18:04+00:00,2021-12-21 14:24:22+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,0.0,Bump actions/setup-go from 2.1.3 to 2.1.5,https://api.github.com/repos/cosmos/gaia/issues/1130
89,1128,2021-12-20 09:24:45+00:00,2021-12-21 14:05:46+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,0.0,Bump JamesIves/github-pages-deploy-action from 3.7.1 to 4.1.8,https://api.github.com/repos/cosmos/gaia/issues/1128
90,1127,2021-12-20 02:21:17+00:00,2022-01-19 18:29:35+00:00,0,[],0,NONE,5.0,Compile v6.0.0 error!,https://api.github.com/repos/cosmos/gaia/issues/1127
91,1126,2021-12-17 16:12:05+00:00,2022-01-19 17:57:29+00:00,0,['docs'],0,MEMBER,3.0,Docs: Restructure governance section,https://api.github.com/repos/cosmos/gaia/issues/1126
92,1125,2021-12-17 15:48:55+00:00,2021-12-22 09:35:11+00:00,0,[],0,MEMBER,0.0,Update docs: Identify/fix all broken links,https://api.github.com/repos/cosmos/gaia/issues/1125
93,1124,2021-12-17 09:44:08+00:00,2021-12-21 14:10:17+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,1.0,Bump github.com/cosmos/ibc-go/v2 from 2.0.0 to 2.0.2,https://api.github.com/repos/cosmos/gaia/issues/1124
94,1123,2021-12-17 07:16:19+00:00,2022-01-19 18:34:56+00:00,0,[],0,NONE,1.0,gaia v6.0.0 cosmos/tx/v1beta1/txs How to convert broadcast transaction parameters,https://api.github.com/repos/cosmos/gaia/issues/1123
95,1121,2021-12-15 14:52:42+00:00,2022-01-31 16:39:06+00:00,0,['more-info-needed'],0,NONE,24.0,Sync error for new installation of Gaia V6.0.0,https://api.github.com/repos/cosmos/gaia/issues/1121
96,1120,2021-12-15 13:50:38+00:00,2021-12-15 17:30:31+00:00,0,[],0,MEMBER,0.0,Fix broken installation links,https://api.github.com/repos/cosmos/gaia/issues/1120
97,1119,2021-12-15 09:41:04+00:00,2021-12-16 10:04:08+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,1.0,Bump github.com/spf13/cobra from 1.2.1 to 1.3.0,https://api.github.com/repos/cosmos/gaia/issues/1119
98,1118,2021-12-15 07:54:49+00:00,2021-12-15 13:52:30+00:00,0,[],0,NONE,8.0,Gaia V6.0.0 startup error,https://api.github.com/repos/cosmos/gaia/issues/1118
99,1117,2021-12-14 13:15:54+00:00,2021-12-17 09:44:11+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,4.0,Bump github.com/cosmos/ibc-go/v2 from 2.0.0 to 2.0.1,https://api.github.com/repos/cosmos/gaia/issues/1117
100,1116,2021-12-14 13:15:31+00:00,2021-12-21 14:17:17+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,3.0,Bump github.com/tendermint/tm-db from 0.6.4 to 0.6.6,https://api.github.com/repos/cosmos/gaia/issues/1116
101,1115,2021-12-14 13:14:51+00:00,2021-12-21 14:20:11+00:00,0,"['dependencies', 'automerge']",0,CONTRIBUTOR,4.0,Bump github.com/tendermint/tendermint from 0.34.14 to 0.35.0,https://api.github.com/repos/cosmos/gaia/issues/1115
102,1114,2021-12-14 13:00:33+00:00,2021-12-16 15:18:40+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,0.0,Bump codecov/codecov-action from 1 to 2.1.0,https://api.github.com/repos/cosmos/gaia/issues/1114
103,1113,2021-12-14 13:00:29+00:00,2021-12-22 09:41:30+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,0.0,Bump actions/stale from 3 to 4.1.0,https://api.github.com/repos/cosmos/gaia/issues/1113
104,1112,2021-12-14 13:00:26+00:00,2021-12-21 14:19:29+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,0.0,Bump gaurav-nelson/github-action-markdown-link-check from 0.6.0 to 1.0.13,https://api.github.com/repos/cosmos/gaia/issues/1112
105,1111,2021-12-14 13:00:24+00:00,2021-12-21 14:18:08+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,1.0,Bump actions/setup-go from 2.1.3 to 2.1.4,https://api.github.com/repos/cosmos/gaia/issues/1111
106,1110,2021-12-14 13:00:21+00:00,2021-12-22 09:45:32+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,0.0,Bump actions/checkout from 2.3.1 to 2.4.0,https://api.github.com/repos/cosmos/gaia/issues/1110
107,1109,2021-12-14 13:00:17+00:00,2021-12-20 09:24:49+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,1.0,Bump JamesIves/github-pages-deploy-action from 3.7.1 to 4.1.7,https://api.github.com/repos/cosmos/gaia/issues/1109
108,1108,2021-12-14 13:00:13+00:00,2021-12-16 09:50:23+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,0.0,Bump technote-space/get-diff-action from 4 to 5.0.2,https://api.github.com/repos/cosmos/gaia/issues/1108
109,1107,2021-12-14 13:00:10+00:00,2021-12-22 09:48:43+00:00,0,"['dependencies', 'github_actions']",0,CONTRIBUTOR,0.0,Bump actions/cache from 1 to 2.1.7,https://api.github.com/repos/cosmos/gaia/issues/1107
110,1105,2021-12-14 01:28:36+00:00,2021-12-14 20:02:28+00:00,0,[],0,CONTRIBUTOR,0.0,Update interchain-security.md,https://api.github.com/repos/cosmos/gaia/issues/1105
111,1104,2021-12-13 21:35:50+00:00,2021-12-13 21:47:09+00:00,0,[],0,MEMBER,0.0,docs: relay validator set composition typo fix,https://api.github.com/repos/cosmos/gaia/issues/1104
112,1103,2021-12-13 21:16:08+00:00,2021-12-14 12:59:46+00:00,0,[],0,MEMBER,0.0,add dependabot,https://api.github.com/repos/cosmos/gaia/issues/1103
113,1102,2021-12-13 18:01:31+00:00,2022-01-12 11:26:35+00:00,0,[],0,MEMBER,0.0,Update the upgrade time,https://api.github.com/repos/cosmos/gaia/issues/1102
114,1101,2021-12-13 09:13:47+00:00,2021-12-14 12:59:46+00:00,0,[],0,MEMBER,0.0,add dependabot,https://api.github.com/repos/cosmos/gaia/issues/1101
115,1100,2021-12-13 05:59:41+00:00,2022-02-01 09:37:48+00:00,0,[],0,CONTRIBUTOR,3.0,versions,https://api.github.com/repos/cosmos/gaia/issues/1100
116,1099,2021-12-10 22:36:51+00:00,2021-12-12 16:13:02+00:00,0,[],0,CONTRIBUTOR,23.0,Import repair,https://api.github.com/repos/cosmos/gaia/issues/1099
117,1098,2021-12-10 15:02:17+00:00,2021-12-10 15:11:11+00:00,0,[],0,MEMBER,2.0,doc: change doc for vega upgrade instruction,https://api.github.com/repos/cosmos/gaia/issues/1098
118,1097,2021-12-10 11:21:36+00:00,2022-02-06 14:53:55+00:00,1,['docs'],0,MEMBER,0.0,Update docs: outdated CLI,https://api.github.com/repos/cosmos/gaia/issues/1097
119,1096,2021-12-09 15:46:33+00:00,2021-12-10 13:51:27+00:00,0,[],0,MEMBER,0.0,docs: vega upgrade instruction,https://api.github.com/repos/cosmos/gaia/issues/1096
120,1095,2021-12-08 20:44:32+00:00,2021-12-15 13:37:39+00:00,0,[],0,MEMBER,0.0,Update gaiad installation docs,https://api.github.com/repos/cosmos/gaia/issues/1095
121,1094,2021-12-08 20:13:49+00:00,2021-12-08 20:43:28+00:00,0,['docs'],0,MEMBER,0.0,"Update gaiad installation docs, update docs install/run instructions, and clean up left menu ordering",https://api.github.com/repos/cosmos/gaia/issues/1094
122,1093,2021-12-08 11:17:24+00:00,2022-02-03 11:13:27+00:00,1,['docs'],0,MEMBER,0.0,Update Hub Docs - Join the Public Testnet,https://api.github.com/repos/cosmos/gaia/issues/1093
123,1092,2021-12-06 19:53:46+00:00,2021-12-16 16:52:50+00:00,1,['docs'],0,MEMBER,0.0,Update Hub Docs - Gaia Installation,https://api.github.com/repos/cosmos/gaia/issues/1092
124,1091,2021-12-05 02:56:44+00:00,2021-12-14 09:38:07+00:00,0,"['good first issue', 'more-info-needed']",0,NONE,3.0,Cannot run node via gaiad start. Get a panic: StoreBlockHeight (5200791) > StateBlockHeight + 1 (1) error,https://api.github.com/repos/cosmos/gaia/issues/1091
125,1090,2021-12-03 22:16:53+00:00,2022-01-18 17:25:04+00:00,0,['docs'],0,MEMBER,3.0,docs: Set up locales for existing translations,https://api.github.com/repos/cosmos/gaia/issues/1090
126,1089,2021-12-03 16:53:27+00:00,2021-12-09 10:34:15+00:00,0,"['docs', 'governance']",0,MEMBER,0.0,docs: fix links in governance section,https://api.github.com/repos/cosmos/gaia/issues/1089
127,1088,2021-12-03 12:28:54+00:00,2021-12-03 12:29:10+00:00,0,[],0,MEMBER,0.0,Update cosmos-hub-roadmap-2.0.md,https://api.github.com/repos/cosmos/gaia/issues/1088
128,1087,2021-12-02 22:18:59+00:00,2021-12-09 10:32:53+00:00,0,['docs'],0,MEMBER,1.0,"docs: Update validator-faq.md for grammar, clarity, tense, and ATOM",https://api.github.com/repos/cosmos/gaia/issues/1087
129,1086,2021-12-02 21:13:18+00:00,2021-12-09 10:29:48+00:00,0,['docs'],0,MEMBER,1.0,docs: validator overview edits for small fixes,https://api.github.com/repos/cosmos/gaia/issues/1086
130,1085,2021-11-30 19:47:40+00:00,2021-11-30 22:01:36+00:00,0,[],0,MEMBER,4.0,Add Permissioned CosmWASM to hub roadmap,https://api.github.com/repos/cosmos/gaia/issues/1085
131,1084,2021-11-28 12:37:16+00:00,2021-12-11 20:31:11+00:00,1,"['T:bug', 'blocked']",0,CONTRIBUTOR,3.0,Replacing Cosmos SDK with 43.2,https://api.github.com/repos/cosmos/gaia/issues/1084
